title,ethnicity,activity,location,text,tags,caption,object
photo254,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7165.jpg"" height=""500px"">"
photo255,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7174.jpg"" height=""500px"">"
photo256,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7176.jpg"" height=""500px"">"
photo257,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7184.jpg"" height=""500px"">"
photo258,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7192.jpg"" height=""500px"">"
photo259,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7219.jpg"" height=""500px"">"
photo260,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7234.jpg"" height=""500px"">"
photo261,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7266.jpg"" height=""500px"">"
photo262,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/MVI_0009tox.jpg"" height=""500px"">"
photo263,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/MVI_0014dr.jpg"" height=""500px"">"
photo264,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/MVI_0017.jpg"" height=""500px"">"
photo265,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/Refugee Candid 1.jpg"" height=""500px"">"
photo266,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/Tek red.png"" height=""500px"">"
photo267,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/don dance vid.tiff"" height=""500px"">"
photo268,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/flist"" height=""500px"">"
photo269,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/himalaya.tiff"" height=""500px"">"
